,Position,Rider,Born,Team,Total time,FC points,race
120,121,Dmitriy Gruzdev,1986,Astana-Premier Tech,+ 51,,Oxyclean Classic Brugge-De Panne - 2021
121,122,Senne Leysen,1996,Alpecin-Fenix,+ 51,,Oxyclean Classic Brugge-De Panne - 2021
122,123,Lukasz Wisniowski,1991,Qhubeka ASSOS,+ 51,,Oxyclean Classic Brugge-De Panne - 2021
123,124,Syver Wærsted,1996,Uno-X Pro Cycling Team,+ 51,,Oxyclean Classic Brugge-De Panne - 2021
124,125,Edvald Boasson Hagen,1987,Total Direct Energie,+ 51,,Oxyclean Classic Brugge-De Panne - 2021
125,126,Andrea Di Renzo,1995,Vini Zabú,+ 51,,Oxyclean Classic Brugge-De Panne - 2021
126,127,Christophe Noppe,1994,Arkéa-Samsic,+ 51,,Oxyclean Classic Brugge-De Panne - 2021
127,128,Scott Thwaites,1990,Alpecin-Fenix,+ 51,,Oxyclean Classic Brugge-De Panne - 2021
128,129,Oscar Riesebeek,1992,Alpecin-Fenix,+ 51,,Oxyclean Classic Brugge-De Panne - 2021
129,130,Szymon Sajnok,1997,Cofidis,+ 51,,Oxyclean Classic Brugge-De Panne - 2021
130,131,Julien Morice,1991,B&B Hotels p/b KTM,+ 51,,Oxyclean Classic Brugge-De Panne - 2021
131,132,Andreas Leknessund,1999,Team DSM,+ 51,,Oxyclean Classic Brugge-De Panne - 2021
132,133,Florian Maître,1996,Total Direct Energie,+ 51,,Oxyclean Classic Brugge-De Panne - 2021
133,134,Alexis Gougeard,1993,AG2R Citroën Team,+ 51,,Oxyclean Classic Brugge-De Panne - 2021
134,135,Stijn Steels,1989,Deceuninck-Quick Step,+ 51,,Oxyclean Classic Brugge-De Panne - 2021
135,136,Robbe Ghys,1997,Sport Vlaanderen-Baloise,+ 51,,Oxyclean Classic Brugge-De Panne - 2021
136,137,Patrick Gamper,1997,BORA-hansgrohe,+ 51,,Oxyclean Classic Brugge-De Panne - 2021
137,138,Joel Suter,1998,Bingoal-WB,+ 51,,Oxyclean Classic Brugge-De Panne - 2021
138,139,Fabio Van Den Bossche,2000,Sport Vlaanderen-Baloise,+ 1:10,,Oxyclean Classic Brugge-De Panne - 2021
139,140,Bryan Coquard,1992,B&B Hotels p/b KTM,+ 1:13,,Oxyclean Classic Brugge-De Panne - 2021
140,141,Damien Gaudin,1986,Total Direct Energie,+ 1:31,,Oxyclean Classic Brugge-De Panne - 2021
141,142,Joris Nieuwenhuis,1996,Team DSM,+ 1:31,,Oxyclean Classic Brugge-De Panne - 2021
142,143,Olivier Le Gac,1993,Groupama-FDJ,+ 1:36,,Oxyclean Classic Brugge-De Panne - 2021
143,144,Marco Marcato,1984,UAE Team Emirates,+ 1:39,,Oxyclean Classic Brugge-De Panne - 2021
144,145,Jake Stewart,1999,Groupama-FDJ,+ 1:59,,Oxyclean Classic Brugge-De Panne - 2021
145,146,Fred Wright,1999,Bahrain Victorious,+ 1:59,,Oxyclean Classic Brugge-De Panne - 2021
146,147,Pascal Eenkhoorn,1997,Jumbo-Visma,+ 1:59,,Oxyclean Classic Brugge-De Panne - 2021
147,148,Luca Mozzato,1998,B&B Hotels p/b KTM,+ 2:05,,Oxyclean Classic Brugge-De Panne - 2021
148,149,Ludovic Robeet,1994,Bingoal-WB,+ 2:34,,Oxyclean Classic Brugge-De Panne - 2021
149,150,Adrien Petit,1990,Total Direct Energie,+ 2:34,,Oxyclean Classic Brugge-De Panne - 2021
150,151,Nico Denz,1994,Team DSM,+ 2:47,,Oxyclean Classic Brugge-De Panne - 2021
151,152,Lukas Pöstlberger,1992,BORA-hansgrohe,+ 2:47,,Oxyclean Classic Brugge-De Panne - 2021
152,153,Jimmy Janssens,1989,Alpecin-Fenix,+ 2:52,,Oxyclean Classic Brugge-De Panne - 2021
153,154,Kiel Reijnen,1986,Trek-Segafredo,+ 3:23,,Oxyclean Classic Brugge-De Panne - 2021
154,155,Gerben Thijssen,1998,Lotto Soudal,+ 4:00,,Oxyclean Classic Brugge-De Panne - 2021
155,156,Geoffrey Soupe,1988,Total Direct Energie,+ 4:52,,Oxyclean Classic Brugge-De Panne - 2021
156,157,Martin Salmon,1997,Team DSM,+ 4:52,,Oxyclean Classic Brugge-De Panne - 2021
157,158,Rui Oliveira,1996,UAE Team Emirates,+ 4:52,,Oxyclean Classic Brugge-De Panne - 2021
158,DNS,Hugo Houle,1990,Astana-Premier Tech,,,Oxyclean Classic Brugge-De Panne - 2021
159,DNS,Harry Sweeny,1998,Lotto Soudal,,,Oxyclean Classic Brugge-De Panne - 2021
160,DNS,Niklas Larsen,1997,Uno-X Pro Cycling Team,,,Oxyclean Classic Brugge-De Panne - 2021
161,DNF,Chun Kai Feng,1988,Bahrain Victorious,,,Oxyclean Classic Brugge-De Panne - 2021
162,DNF,Heinrich Haussler,1984,Bahrain Victorious,,,Oxyclean Classic Brugge-De Panne - 2021
163,DNF,Sean De Bie,1991,Bingoal-WB,,,Oxyclean Classic Brugge-De Panne - 2021
164,DNF,Tim Declercq,1989,Deceuninck-Quick Step,,,Oxyclean Classic Brugge-De Panne - 2021
165,DNF,Alexys Brunel,1998,Groupama-FDJ,,,Oxyclean Classic Brugge-De Panne - 2021
166,DNF,Jasper De Plus,1997,Intermarché-Wanty-Gobert,,,Oxyclean Classic Brugge-De Panne - 2021
167,DNF,Sebastian Mora,1988,Movistar Team,,,Oxyclean Classic Brugge-De Panne - 2021
168,DNF,Nacer Bouhanni,1990,Arkéa-Samsic,,,Oxyclean Classic Brugge-De Panne - 2021
169,DNF,Jakob Egholm,1998,Trek-Segafredo,,,Oxyclean Classic Brugge-De Panne - 2021
170,DNF,Frederik Rodenberg,1998,Uno-X Pro Cycling Team,,,Oxyclean Classic Brugge-De Panne - 2021
171,DNF,Anders Skaarseth,1995,Uno-X Pro Cycling Team,,,Oxyclean Classic Brugge-De Panne - 2021
172,DNF,Wout Van Elzakker,1998,Vini Zabú,,,Oxyclean Classic Brugge-De Panne - 2021
